When	Who	Task	Type	From	To	Detail	Resolved
2026-09-08 14:34	Praveen	9 Enable Github Security controls	Status	Completed	Not started		
2026-09-08 14:33	Praveen	9 Enable Github Security controls	Status	Not started	Completed		
2026-09-08 14:33	Praveen	9 Enable Github Security controls	Task	Enable Github 	Enable Github Security controls		
2026-09-08 14:33	Praveen	8 Create - finalize OV-1, System-View of Architecture	Owner	Praven	Praveen		
2026-09-08 14:33	Praveen	8 Create - finalize OV-1, System-View of Architecture	Helper	nobody	Amisha, Uddyan		
2026-09-08 14:33	Praveen	8 Create - finalize OV-1, System-View of Architecture	Owner	Pravee	Praven		
2026-09-08 14:29	Praveen	9 Enable Github Security controls	Task	Start 	Enable Github 		
2026-09-08 14:28	Praveen	9 Enable Github Security controls	Task		Start 		
2026-09-08 14:28	Praveen	9 Enable Github Security controls	create			Task created	
2026-09-08 14:26	Teja	8 Create - finalize OV-1, System-View of Architecture	Owner	Teja	Pravee		
2026-09-08 14:26	Teja	8 Create - finalize OV-1, System-View of Architecture	Task		Create - finalize OV-1, System-View of Architecture		
2026-09-08 14:26	Teja	8 Create - finalize OV-1, System-View of Architecture	create			Task created	
2026-09-08 14:25	Praveen Sharma	7 Complete testing of Security Email -	Task		Complete testing of Security Email -		
2026-09-08 14:24	Praveen Sharma	7 Complete testing of Security Email -	create			Task created	
2026-09-08 14:23	Praveen Sharma	6 Vendor Inventory and Assessment	Helper	nobody	Teja		
2026-09-08 14:22	Praveen Sharma	6 Vendor Inventory and Assessment	SOC 2 mapping	none	CC9.2		
2026-09-08 14:22	Praveen Sharma	6 Vendor Inventory and Assessment	Task		Vendor Inventory and Assessment		
2026-09-08 14:22	Praveen Sharma	6 Vendor Inventory and Assessment	create			Task created	
2026-09-08 14:18	Praveen Sharma	3 Complete activities for the Trust Center	Helper	Amisha	nobody		
2026-09-08 14:18	Praveen Sharma	3 Complete activities for the Trust Center	Owner	nobody	Praveen Sharma		
2026-09-08 14:17	Praveen Sharma	3 Complete activities for the Trust Center	SOC 2 mapping	none	CC2.3		
2026-09-08 14:17	Praveen Sharma	3 Complete activities for the Trust Center	Task		Complete activities for the Trust Center		
2026-09-08 14:16	Praveen Sharma	5 Asset Inventory	Status	Completed	Not started		
2026-09-08 14:16	Praveen Sharma	5 Asset Inventory	Status	Blocked	Completed		
2026-09-08 14:16	Praveen Sharma	5 Asset Inventory	Status	In progress	Blocked		
2026-09-08 14:16	Praveen Sharma	5 Asset Inventory	Status	Started	In progress		
2026-09-08 14:16	Praveen Sharma	5 Asset Inventory	Status	Not started	Started		
2026-09-08 14:16	Praveen Sharma	5 Asset Inventory	Priority	Medium	High		
2026-09-08 14:15	Praveen Sharma	2 AWS hardening	Task		AWS hardening		
2026-09-08 14:13	Praveen Sharma	4 Complete Github hardening	Helper	Uddyan	Amisha		
2026-09-08 14:12	Praveen Sharma	4 Complete Github hardening	Owner	Amisha	Uddyan		
2026-09-08 14:12	Praveen Sharma	4 Complete Github hardening	Owner	nobody	Amisha		
2026-09-08 14:12	Praveen Sharma	4 Complete Github hardening	Task		Complete Github hardening		
2026-09-08 14:11	Praveen Sharma	2 AWS hardening	create			Task created	
2026-09-08 14:10	Praveen Sharma	4 Complete Github hardening	Helper	nobody	Uddyan		
2026-09-08 14:10	Praveen Sharma	3 Complete activities for the Trust Center	Helper	nobody	Amisha		
2026-09-08 14:10	unnamed	3 Complete activities for the Trust Center	create			Task created	
2026-09-08 14:10	unnamed	4 Complete Github hardening	create			Task created	
2026-09-08 14:04	someone	5 Asset Inventory	note			Due date: none to 2026-09-22	
2026-09-08 14:03	someone	5 Asset Inventory	note			Owner: unassigned to Teja	
2026-09-08 14:03	someone	5 Asset Inventory	note			Task created	
